brand,product_name,currency,prices,category,model_number,seller,rating,rating_count,delivery,partner_ratings,partner_rating_count,SKU,FBN,URL
Athlete Home,Power Pull High End Mat,EGP,400.00,Exercise & Fitness,6849,Athlete Home,,,"Sat, 11 March.",3.6,,Z5E8B1D3A8,express,https://www.noon.com/egypt-en/power-pull-high-end-mat/Z5E8B1D3A8CD1EDC0EF3FZ/p/?o=z5e8b1d3a8cd1edc0ef3fz-1%22
BODY SCULPTURE,Interlocking Mat 3kg,EGP,662.00,Exercise & Fitness,BB-8340-B,noon,,,"Fri, 10 March.",4.3,,N52165260A,express,https://www.noon.com/egypt-en/interlocking-mat-3kg/N52165260A/p/?o=c677ac730516096b%22
Athlete Home,Athlete Home Yoga Foam Roller 45cm,EGP,300.00,Exercise & Fitness,5410,Athlete Home,,,"Fri, 10 March.",3.7,,ZB12BDB8FA,express,https://www.noon.com/egypt-en/athlete-home-yoga-foam-roller-45cm/ZB12BDB8FACF6B17C4801Z/p/?o=zb12bdb8facf6b17c4801z-1%22
Cactus Fitness,Cactus fitness Yoga Pilates Mat Gym Exercise Mat Home Fitness For Women And Men Non-slip TPE mat 183cm extra long,,,Exercise & Fitness,,Cactus Fitness,,,"Wed, 15 March - Thu, 16 March.",,,Z32F83DB40,marketplace,https://www.noon.com/egypt-en/cactus-fitness-yoga-pilates-mat-gym-exercise-mat-home-fitness-for-women-and-men-non-slip-tpe-mat-183cm-extra-long/Z32F83DB40EC8BFF57E40Z/p/?o=z32f83db40ec8bff57e40z-1%22
Generic,Back Massager Stretcher 40x25x3cm,EGP,145.00,Exercise & Fitness,Y15155P-B,Hanso,,,"Fri, 10 March - Sat, 11 March.",3.3,,N43426712A,express,https://www.noon.com/egypt-en/back-massager-stretcher-40x25x3cm/N43426712A/p/?o=aea9e2c2b2cd4a1e%22
Generic,Yoga Brick Color One Sizecm,EGP,99.00,Exercise & Fitness,3641-4,Athlete Home,,,"Fri, 10 March - Sat, 11 March.",3.6,,N51895889A,express,https://www.noon.com/egypt-en/yoga-brick-color-one-sizecm/N51895889A/p/?o=a9542c86081b3e7a%22
BODY SCULPTURE,Yoga Mat 17mm,EGP,917.00,Exercise & Fitness,BB-8330,noon,,,"Fri, 10 March - Sat, 11 March.",4.3,,N52252468A,express,https://www.noon.com/egypt-en/yoga-mat-17mm/N52252468A/p/?o=ebfef767165326ee%22
Generic,Foldable Yoga Mat With Carrying Bag 173x61cm,EGP,200.00,Exercise & Fitness,Yoga-purple-4m,Athlete Home,,,"Fri, 10 March.",3.7,,N43324438A,express,https://www.noon.com/egypt-en/foldable-yoga-mat-with-carrying-bag-173x61cm/N43324438A/p/?o=df2f46ce8a714dfb%22
BODY SCULPTURE,Full Round Foam Roller 15x45centimeter,EGP,667.00,Exercise & Fitness,BB-021-45cm,noon,,,"Fri, 10 March - Sat, 11 March.",4.3,,N35279634A,express,https://www.noon.com/egypt-en/full-round-foam-roller-15x45centimeter/N35279634A/p/?o=cc049fe0ee46968f%22
UFIT,Yoga Mat with Carrying Bag 183 × 61 × 1cm,EGP,180.00,Exercise & Fitness,322-27404119-17,RED MOON,,,"Wed, 15 March - Sun, 19 March.",1.8,,N44711352A,marketplace,https://www.noon.com/egypt-en/yoga-mat-with-carrying-bag-183-61-1cm/N44711352A/p/?o=f410a557d32a5bce%22
Athlete Home,Yoga Ball 2021 75cm,EGP,219.70,Exercise & Fitness,6316-72,Athlete Home,,,"Sat, 11 March.",3.6,,N51237368A,express,https://www.noon.com/egypt-en/yoga-ball-2021-75cm/N51237368A/p/?o=ba6f3906d4e85c7e%22
Athlete Home,Exercise Mat 5Mm Eva,EGP,313.50,Exercise & Fitness,31509,Athlete Home,,,"Fri, 10 March.",3.7,,ZC67D1F852,express,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZC67D1F852D66632BD795Z/p/?o=zc67d1f852d66632bd795z-1%22
Athlete Home,Exercise Mat,,,Exercise & Fitness,,Athlete Home,,,"Fri, 10 March.",3.7,,Z5F0AC9571,express,https://www.noon.com/egypt-en/exercise-mat/Z5F0AC957140F7E60D2E9Z/p/?o=z5f0ac957140f7e60d2e9z-1%22
Athlete Home,Exercise Mat 5Mm Eva,EGP,313.50,Exercise & Fitness,31505,Athlete Home,,,"Fri, 10 March.",3.7,,ZFEE22B4CA,express,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZFEE22B4CAE429FFBB22DZ/p/?o=zfee22b4cae429ffbb22dz-1%22
Athlete Home,Athlete Home Pvc 8Mm Mat Multi Color With Bag,EGP,300.00,Exercise & Fitness,6823,Athlete Home,,,"Fri, 10 March.",3.7,,ZD84DFDE79,express,https://www.noon.com/egypt-en/athlete-home-pvc-8mm-mat-multi-color-with-bag/ZD84DFDE797839ACCF9A5Z/p/?o=zd84dfde797839accf9a5z-1%22
Athlete Home,Athlete Home 5mm Mat With Bag,EGP,250.00,Exercise & Fitness,6555,Athlete Home,,,"Fri, 10 March.",3.7,,Z0C624E652,express,https://www.noon.com/egypt-en/athlete-home-5mm-mat-with-bag/Z0C624E65219011A8526EZ/p/?o=z0c624e65219011a8526ez-1%22
SportQ,Yoga Mat With Carrying Strap And Bag 8mm,EGP,270.00,Exercise & Fitness,9MMS8YTZ,Bekstore,,,"Tue, 14 March - Wed, 15 March.",3.5,,N52752494A,marketplace,https://www.noon.com/egypt-en/yoga-mat-with-carrying-strap-and-bag-8mm/N52752494A/p/?o=c80265db27e2215d%22
Athlete Home,Exercise yoga Aerobic Ball With Box and Pump,EGP,253.05,Exercise & Fitness,6043,Athlete Home,,,"Sat, 11 March.",3.6,,Z831DF37E2,express,https://www.noon.com/egypt-en/exercise-yoga-aerobic-ball-with-box-and-pump/Z831DF37E240370A08202Z/p/?o=z831df37e240370a08202z-1%22
Generic,Non Slip Yoga Mat With Carrying Bag,EGP,206.70,Exercise & Fitness,1004591,Bekstore,,,"Wed, 15 March - Thu, 16 March.",3.5,,N39552148A,marketplace,https://www.noon.com/egypt-en/non-slip-yoga-mat-with-carrying-bag/N39552148A/p/?o=fb086e376afc5e3c%22
BODY SCULPTURE,Yoga Mat 6.5 Mm ‎62 x 14 x 12cm,EGP,279.00,Exercise & Fitness,BB-8311,RED MOON,,,"Wed, 15 March - Fri, 17 March.",1.8,,N52252467A,marketplace,https://www.noon.com/egypt-en/yoga-mat-6-5-mm-62-x-14-x-12cm/N52252467A/p/?o=a1e447c4e2fe029e%22
